path,emotion
../data/raw\Actor_02\03-01-02-01-01-02-02.wav,calm
../data/raw\Actor_02\03-01-02-01-02-01-02.wav,calm
../data/raw\Actor_02\03-01-02-01-02-02-02.wav,calm
../data/raw\Actor_02\03-01-02-02-01-01-02.wav,calm
../data/raw\Actor_02\03-01-02-02-01-02-02.wav,calm
../data/raw\Actor_02\03-01-02-02-02-01-02.wav,calm
../data/raw\Actor_02\03-01-02-02-02-02-02.wav,calm
../data/raw\Actor_02\03-01-03-01-01-01-02.wav,happy
../data/raw\Actor_02\03-01-03-01-01-02-02.wav,happy
../data/raw\Actor_02\03-01-03-01-02-01-02.wav,happy
../data/raw\Actor_02\03-01-03-01-02-02-02.wav,happy
../data/raw\Actor_02\03-01-03-02-01-01-02.wav,happy
../data/raw\Actor_02\03-01-03-02-01-02-02.wav,happy
../data/raw\Actor_02\03-01-03-02-02-01-02.wav,happy
../data/raw\Actor_02\03-01-03-02-02-02-02.wav,happy
../data/raw\Actor_02\03-01-04-01-01-01-02.wav,sad
../data/raw\Actor_02\03-01-04-01-01-02-02.wav,sad
../data/raw\Actor_02\03-01-04-01-02-01-02.wav,sad
../data/raw\Actor_02\03-01-04-01-02-02-02.wav,sad
../data/raw\Actor_02\03-01-04-02-01-01-02.wav,sad
../data/raw\Actor_02\03-01-04-02-01-02-02.wav,sad
../data/raw\Actor_02\03-01-04-02-02-01-02.wav,sad
../data/raw\Actor_02\03-01-04-02-02-02-02.wav,sad
../data/raw\Actor_02\03-01-05-01-01-01-02.wav,angry
../data/raw\Actor_02\03-01-05-01-01-02-02.wav,angry
../data/raw\Actor_02\03-01-05-01-02-01-02.wav,angry
../data/raw\Actor_02\03-01-05-01-02-02-02.wav,angry
../data/raw\Actor_02\03-01-05-02-01-01-02.wav,angry
../data/raw\Actor_02\03-01-05-02-01-02-02.wav,angry
../data/raw\Actor_02\03-01-05-02-02-01-02.wav,angry
../data/raw\Actor_02\03-01-05-02-02-02-02.wav,angry
../data/raw\Actor_02\03-01-06-01-01-01-02.wav,fear
../data/raw\Actor_02\03-01-06-01-01-02-02.wav,fear
../data/raw\Actor_02\03-01-06-01-02-01-02.wav,fear
../data/raw\Actor_02\03-01-06-01-02-02-02.wav,fear
../data/raw\Actor_02\03-01-06-02-01-01-02.wav,fear
../data/raw\Actor_02\03-01-06-02-01-02-02.wav,fear
../data/raw\Actor_02\03-01-06-02-02-01-02.wav,fear
../data/raw\Actor_02\03-01-06-02-02-02-02.wav,fear
../data/raw\Actor_02\03-01-07-01-01-01-02.wav,disgust
../data/raw\Actor_02\03-01-07-01-01-02-02.wav,disgust
../data/raw\Actor_02\03-01-07-01-02-01-02.wav,disgust
../data/raw\Actor_02\03-01-07-01-02-02-02.wav,disgust
../data/raw\Actor_02\03-01-07-02-01-01-02.wav,disgust
../data/raw\Actor_02\03-01-07-02-01-02-02.wav,disgust
../data/raw\Actor_02\03-01-07-02-02-01-02.wav,disgust
../data/raw\Actor_02\03-01-07-02-02-02-02.wav,disgust
../data/raw\Actor_02\03-01-08-01-01-01-02.wav,surprise
../data/raw\Actor_02\03-01-08-01-01-02-02.wav,surprise
../data/raw\Actor_02\03-01-08-01-02-01-02.wav,surprise
../data/raw\Actor_02\03-01-08-01-02-02-02.wav,surprise
../data/raw\Actor_02\03-01-08-02-01-01-02.wav,surprise
../data/raw\Actor_02\03-01-08-02-01-02-02.wav,surprise
../data/raw\Actor_02\03-01-08-02-02-01-02.wav,surprise
../data/raw\Actor_02\03-01-08-02-02-02-02.wav,surprise
../data/raw\Actor_03\03-01-01-01-01-01-03.wav,neutral
../data/raw\Actor_03\03-01-01-01-01-02-03.wav,neutral
../data/raw\Actor_03\03-01-01-01-02-01-03.wav,neutral
../data/raw\Actor_03\03-01-01-01-02-02-03.wav,neutral
../data/raw\Actor_03\03-01-02-01-01-01-03.wav,calm
../data/raw\Actor_03\03-01-02-01-01-02-03.wav,calm
../data/raw\Actor_03\03-01-02-01-02-01-03.wav,calm
../data/raw\Actor_03\03-01-02-01-02-02-03.wav,calm
../data/raw\Actor_03\03-01-02-02-01-01-03.wav,calm
../data/raw\Actor_03\03-01-02-02-01-02-03.wav,calm
../data/raw\Actor_03\03-01-02-02-02-01-03.wav,calm
../data/raw\Actor_03\03-01-02-02-02-02-03.wav,calm
../data/raw\Actor_03\03-01-03-01-01-01-03.wav,happy
../data/raw\Actor_03\03-01-03-01-01-02-03.wav,happy
../data/raw\Actor_03\03-01-03-01-02-01-03.wav,happy
../data/raw\Actor_03\03-01-03-01-02-02-03.wav,happy
../data/raw\Actor_03\03-01-03-02-01-01-03.wav,happy
../data/raw\Actor_03\03-01-03-02-01-02-03.wav,happy
../data/raw\Actor_03\03-01-03-02-02-01-03.wav,happy
../data/raw\Actor_03\03-01-03-02-02-02-03.wav,happy
../data/raw\Actor_03\03-01-04-01-01-01-03.wav,sad
../data/raw\Actor_03\03-01-04-01-01-02-03.wav,sad
../data/raw\Actor_03\03-01-04-01-02-01-03.wav,sad
../data/raw\Actor_03\03-01-04-01-02-02-03.wav,sad
../data/raw\Actor_03\03-01-04-02-01-01-03.wav,sad
../data/raw\Actor_03\03-01-04-02-01-02-03.wav,sad
../data/raw\Actor_03\03-01-04-02-02-01-03.wav,sad
../data/raw\Actor_03\03-01-04-02-02-02-03.wav,sad
../data/raw\Actor_03\03-01-05-01-01-01-03.wav,angry
../data/raw\Actor_03\03-01-05-01-01-02-03.wav,angry
../data/raw\Actor_03\03-01-05-01-02-01-03.wav,angry
../data/raw\Actor_03\03-01-05-01-02-02-03.wav,angry
../data/raw\Actor_03\03-01-05-02-01-01-03.wav,angry
../data/raw\Actor_03\03-01-05-02-01-02-03.wav,angry
../data/raw\Actor_03\03-01-05-02-02-01-03.wav,angry
../data/raw\Actor_03\03-01-05-02-02-02-03.wav,angry
../data/raw\Actor_03\03-01-06-01-01-01-03.wav,fear
../data/raw\Actor_03\03-01-06-01-01-02-03.wav,fear
../data/raw\Actor_03\03-01-06-01-02-01-03.wav,fear
../data/raw\Actor_03\03-01-06-01-02-02-03.wav,fear
../data/raw\Actor_03\03-01-06-02-01-01-03.wav,fear
../data/raw\Actor_03\03-01-06-02-01-02-03.wav,fear
../data/raw\Actor_03\03-01-06-02-02-01-03.wav,fear
../data/raw\Actor_03\03-01-06-02-02-02-03.wav,fear
../data/raw\Actor_03\03-01-07-01-01-01-03.wav,disgust
../data/raw\Actor_03\03-01-07-01-01-02-03.wav,disgust
../data/raw\Actor_03\03-01-07-01-02-01-03.wav,disgust
../data/raw\Actor_03\03-01-07-01-02-02-03.wav,disgust
../data/raw\Actor_03\03-01-07-02-01-01-03.wav,disgust
../data/raw\Actor_03\03-01-07-02-01-02-03.wav,disgust
../data/raw\Actor_03\03-01-07-02-02-01-03.wav,disgust
../data/raw\Actor_03\03-01-07-02-02-02-03.wav,disgust
../data/raw\Actor_03\03-01-08-01-01-01-03.wav,surprise
../data/raw\Actor_03\03-01-08-01-01-02-03.wav,surprise
../data/raw\Actor_03\03-01-08-01-02-01-03.wav,surprise
../data/raw\Actor_03\03-01-08-01-02-02-03.wav,surprise
../data/raw\Actor_03\03-01-08-02-01-01-03.wav,surprise
../data/raw\Actor_03\03-01-08-02-01-02-03.wav,surprise
../data/raw\Actor_03\03-01-08-02-02-01-03.wav,surprise
../data/raw\Actor_03\03-01-08-02-02-02-03.wav,surprise
../data/raw\Actor_04\03-01-01-01-01-01-04.wav,neutral
../data/raw\Actor_04\03-01-01-01-01-02-04.wav,neutral
../data/raw\Actor_04\03-01-01-01-02-01-04.wav,neutral
../data/raw\Actor_04\03-01-01-01-02-02-04.wav,neutral
../data/raw\Actor_04\03-01-02-01-01-01-04.wav,calm
../data/raw\Actor_04\03-01-02-01-01-02-04.wav,calm
../data/raw\Actor_04\03-01-02-01-02-01-04.wav,calm
../data/raw\Actor_04\03-01-02-01-02-02-04.wav,calm
../data/raw\Actor_04\03-01-02-02-01-01-04.wav,calm
../data/raw\Actor_04\03-01-02-02-01-02-04.wav,calm
../data/raw\Actor_04\03-01-02-02-02-01-04.wav,calm
../data/raw\Actor_04\03-01-02-02-02-02-04.wav,calm
../data/raw\Actor_04\03-01-03-01-01-01-04.wav,happy
../data/raw\Actor_04\03-01-03-01-01-02-04.wav,happy
../data/raw\Actor_04\03-01-03-01-02-01-04.wav,happy
../data/raw\Actor_04\03-01-03-01-02-02-04.wav,happy
../data/raw\Actor_04\03-01-03-02-01-01-04.wav,happy
../data/raw\Actor_04\03-01-03-02-01-02-04.wav,happy
../data/raw\Actor_04\03-01-03-02-02-01-04.wav,happy
../data/raw\Actor_04\03-01-03-02-02-02-04.wav,happy
../data/raw\Actor_04\03-01-04-01-01-01-04.wav,sad
../data/raw\Actor_04\03-01-04-01-01-02-04.wav,sad
../data/raw\Actor_04\03-01-04-01-02-01-04.wav,sad
../data/raw\Actor_04\03-01-04-01-02-02-04.wav,sad
../data/raw\Actor_04\03-01-04-02-01-01-04.wav,sad
../data/raw\Actor_04\03-01-04-02-01-02-04.wav,sad
../data/raw\Actor_04\03-01-04-02-02-01-04.wav,sad
../data/raw\Actor_04\03-01-04-02-02-02-04.wav,sad
../data/raw\Actor_04\03-01-05-01-01-01-04.wav,angry
../data/raw\Actor_04\03-01-05-01-01-02-04.wav,angry
../data/raw\Actor_04\03-01-05-01-02-01-04.wav,angry
../data/raw\Actor_04\03-01-05-01-02-02-04.wav,angry
../data/raw\Actor_04\03-01-05-02-01-01-04.wav,angry
../data/raw\Actor_04\03-01-05-02-01-02-04.wav,angry
../data/raw\Actor_04\03-01-05-02-02-01-04.wav,angry
../data/raw\Actor_04\03-01-05-02-02-02-04.wav,angry
../data/raw\Actor_04\03-01-06-01-01-01-04.wav,fear
../data/raw\Actor_04\03-01-06-01-01-02-04.wav,fear
../data/raw\Actor_04\03-01-06-01-02-01-04.wav,fear
../data/raw\Actor_04\03-01-06-01-02-02-04.wav,fear
../data/raw\Actor_04\03-01-06-02-01-01-04.wav,fear
../data/raw\Actor_04\03-01-06-02-01-02-04.wav,fear
../data/raw\Actor_04\03-01-06-02-02-01-04.wav,fear
../data/raw\Actor_04\03-01-06-02-02-02-04.wav,fear
../data/raw\Actor_04\03-01-07-01-01-01-04.wav,disgust
../data/raw\Actor_04\03-01-07-01-01-02-04.wav,disgust
../data/raw\Actor_04\03-01-07-01-02-01-04.wav,disgust
../data/raw\Actor_04\03-01-07-01-02-02-04.wav,disgust
../data/raw\Actor_04\03-01-07-02-01-01-04.wav,disgust
../data/raw\Actor_04\03-01-07-02-01-02-04.wav,disgust
../data/raw\Actor_04\03-01-07-02-02-01-04.wav,disgust
../data/raw\Actor_04\03-01-07-02-02-02-04.wav,disgust
../data/raw\Actor_04\03-01-08-01-01-01-04.wav,surprise
../data/raw\Actor_04\03-01-08-01-01-02-04.wav,surprise
../data/raw\Actor_04\03-01-08-01-02-01-04.wav,surprise
../data/raw\Actor_04\03-01-08-01-02-02-04.wav,surprise
../data/raw\Actor_04\03-01-08-02-01-01-04.wav,surprise
../data/raw\Actor_04\03-01-08-02-01-02-04.wav,surprise
../data/raw\Actor_04\03-01-08-02-02-01-04.wav,surprise
../data/raw\Actor_04\03-01-08-02-02-02-04.wav,surprise
../data/raw\Actor_05\03-01-01-01-01-01-05.wav,neutral
../data/raw\Actor_05\03-01-01-01-01-02-05.wav,neutral
../data/raw\Actor_05\03-01-01-01-02-01-05.wav,neutral
../data/raw\Actor_05\03-01-01-01-02-02-05.wav,neutral
../data/raw\Actor_05\03-01-02-01-01-01-05.wav,calm
../data/raw\Actor_05\03-01-02-01-01-02-05.wav,calm
../data/raw\Actor_05\03-01-02-01-02-01-05.wav,calm
../data/raw\Actor_05\03-01-02-01-02-02-05.wav,calm
../data/raw\Actor_05\03-01-02-02-01-01-05.wav,calm
../data/raw\Actor_05\03-01-02-02-01-02-05.wav,calm
../data/raw\Actor_05\03-01-02-02-02-01-05.wav,calm
../data/raw\Actor_05\03-01-02-02-02-02-05.wav,calm
../data/raw\Actor_05\03-01-03-01-01-01-05.wav,happy
../data/raw\Actor_05\03-01-03-01-01-02-05.wav,happy
../data/raw\Actor_05\03-01-03-01-02-01-05.wav,happy
../data/raw\Actor_05\03-01-03-01-02-02-05.wav,happy
../data/raw\Actor_05\03-01-03-02-01-01-05.wav,happy
../data/raw\Actor_05\03-01-03-02-01-02-05.wav,happy
../data/raw\Actor_05\03-01-03-02-02-01-05.wav,happy
../data/raw\Actor_05\03-01-03-02-02-02-05.wav,happy
../data/raw\Actor_05\03-01-04-01-01-01-05.wav,sad
../data/raw\Actor_05\03-01-04-01-01-02-05.wav,sad
../data/raw\Actor_05\03-01-04-01-02-01-05.wav,sad
../data/raw\Actor_05\03-01-04-01-02-02-05.wav,sad
../data/raw\Actor_05\03-01-04-02-01-01-05.wav,sad
../data/raw\Actor_05\03-01-04-02-01-02-05.wav,sad
../data/raw\Actor_05\03-01-04-02-02-01-05.wav,sad
../data/raw\Actor_05\03-01-04-02-02-02-05.wav,sad
../data/raw\Actor_05\03-01-05-01-01-01-05.wav,angry
../data/raw\Actor_05\03-01-05-01-01-02-05.wav,angry
../data/raw\Actor_05\03-01-05-01-02-01-05.wav,angry
../data/raw\Actor_05\03-01-05-01-02-02-05.wav,angry
../data/raw\Actor_05\03-01-05-02-01-01-05.wav,angry
../data/raw\Actor_05\03-01-05-02-01-02-05.wav,angry
../data/raw\Actor_05\03-01-05-02-02-01-05.wav,angry
../data/raw\Actor_05\03-01-05-02-02-02-05.wav,angry
../data/raw\Actor_05\03-01-06-01-01-01-05.wav,fear
../data/raw\Actor_05\03-01-06-01-01-02-05.wav,fear
../data/raw\Actor_05\03-01-06-01-02-01-05.wav,fear
../data/raw\Actor_05\03-01-06-01-02-02-05.wav,fear
../data/raw\Actor_05\03-01-06-02-01-01-05.wav,fear
../data/raw\Actor_05\03-01-06-02-01-02-05.wav,fear
../data/raw\Actor_05\03-01-06-02-02-01-05.wav,fear
../data/raw\Actor_05\03-01-06-02-02-02-05.wav,fear
../data/raw\Actor_05\03-01-07-01-01-01-05.wav,disgust
../data/raw\Actor_05\03-01-07-01-01-02-05.wav,disgust
../data/raw\Actor_05\03-01-07-01-02-01-05.wav,disgust
../data/raw\Actor_05\03-01-07-01-02-02-05.wav,disgust
../data/raw\Actor_05\03-01-07-02-01-01-05.wav,disgust
../data/raw\Actor_05\03-01-07-02-01-02-05.wav,disgust
../data/raw\Actor_05\03-01-07-02-02-01-05.wav,disgust
../data/raw\Actor_05\03-01-07-02-02-02-05.wav,disgust
../data/raw\Actor_05\03-01-08-01-01-01-05.wav,surprise
../data/raw\Actor_05\03-01-08-01-01-02-05.wav,surprise
../data/raw\Actor_05\03-01-08-01-02-01-05.wav,surprise
../data/raw\Actor_05\03-01-08-01-02-02-05.wav,surprise
../data/raw\Actor_05\03-01-08-02-01-01-05.wav,surprise
../data/raw\Actor_05\03-01-08-02-01-02-05.wav,surprise
../data/raw\Actor_05\03-01-08-02-02-01-05.wav,surprise
../data/raw\Actor_05\03-01-08-02-02-02-05.wav,surprise
../data/raw\Actor_06\03-01-01-01-01-01-06.wav,neutral
../data/raw\Actor_06\03-01-01-01-01-02-06.wav,neutral
../data/raw\Actor_06\03-01-01-01-02-01-06.wav,neutral
../data/raw\Actor_06\03-01-01-01-02-02-06.wav,neutral
../data/raw\Actor_06\03-01-02-01-01-01-06.wav,calm
../data/raw\Actor_06\03-01-02-01-01-02-06.wav,calm
../data/raw\Actor_06\03-01-02-01-02-01-06.wav,calm
../data/raw\Actor_06\03-01-02-01-02-02-06.wav,calm
../data/raw\Actor_06\03-01-02-02-01-01-06.wav,calm
../data/raw\Actor_06\03-01-02-02-01-02-06.wav,calm
../data/raw\Actor_06\03-01-02-02-02-01-06.wav,calm
../data/raw\Actor_06\03-01-02-02-02-02-06.wav,calm
../data/raw\Actor_06\03-01-03-01-01-01-06.wav,happy
../data/raw\Actor_06\03-01-03-01-01-02-06.wav,happy
../data/raw\Actor_06\03-01-03-01-02-01-06.wav,happy
../data/raw\Actor_06\03-01-03-01-02-02-06.wav,happy
../data/raw\Actor_06\03-01-03-02-01-01-06.wav,happy
../data/raw\Actor_06\03-01-03-02-01-02-06.wav,happy
../data/raw\Actor_06\03-01-03-02-02-01-06.wav,happy
../data/raw\Actor_06\03-01-03-02-02-02-06.wav,happy
../data/raw\Actor_06\03-01-04-01-01-01-06.wav,sad
../data/raw\Actor_06\03-01-04-01-01-02-06.wav,sad
../data/raw\Actor_06\03-01-04-01-02-01-06.wav,sad
../data/raw\Actor_06\03-01-04-01-02-02-06.wav,sad
../data/raw\Actor_06\03-01-04-02-01-01-06.wav,sad
../data/raw\Actor_06\03-01-04-02-01-02-06.wav,sad
../data/raw\Actor_06\03-01-04-02-02-01-06.wav,sad
../data/raw\Actor_06\03-01-04-02-02-02-06.wav,sad
../data/raw\Actor_06\03-01-05-01-01-01-06.wav,angry
../data/raw\Actor_06\03-01-05-01-01-02-06.wav,angry
../data/raw\Actor_06\03-01-05-01-02-01-06.wav,angry
../data/raw\Actor_06\03-01-05-01-02-02-06.wav,angry
../data/raw\Actor_06\03-01-05-02-01-01-06.wav,angry
../data/raw\Actor_06\03-01-05-02-01-02-06.wav,angry
../data/raw\Actor_06\03-01-05-02-02-01-06.wav,angry
../data/raw\Actor_06\03-01-05-02-02-02-06.wav,angry
../data/raw\Actor_06\03-01-06-01-01-01-06.wav,fear
../data/raw\Actor_06\03-01-06-01-01-02-06.wav,fear
../data/raw\Actor_06\03-01-06-01-02-01-06.wav,fear
../data/raw\Actor_06\03-01-06-01-02-02-06.wav,fear
../data/raw\Actor_06\03-01-06-02-01-01-06.wav,fear
../data/raw\Actor_06\03-01-06-02-01-02-06.wav,fear
../data/raw\Actor_06\03-01-06-02-02-01-06.wav,fear
../data/raw\Actor_06\03-01-06-02-02-02-06.wav,fear
../data/raw\Actor_06\03-01-07-01-01-01-06.wav,disgust
../data/raw\Actor_06\03-01-07-01-01-02-06.wav,disgust
../data/raw\Actor_06\03-01-07-01-02-01-06.wav,disgust
../data/raw\Actor_06\03-01-07-01-02-02-06.wav,disgust
../data/raw\Actor_06\03-01-07-02-01-01-06.wav,disgust
../data/raw\Actor_06\03-01-07-02-01-02-06.wav,disgust
../data/raw\Actor_06\03-01-07-02-02-01-06.wav,disgust
../data/raw\Actor_06\03-01-07-02-02-02-06.wav,disgust
../data/raw\Actor_06\03-01-08-01-01-01-06.wav,surprise
../data/raw\Actor_06\03-01-08-01-01-02-06.wav,surprise
../data/raw\Actor_06\03-01-08-01-02-01-06.wav,surprise
../data/raw\Actor_06\03-01-08-01-02-02-06.wav,surprise
../data/raw\Actor_06\03-01-08-02-01-01-06.wav,surprise
../data/raw\Actor_06\03-01-08-02-01-02-06.wav,surprise
../data/raw\Actor_06\03-01-08-02-02-01-06.wav,surprise
../data/raw\Actor_06\03-01-08-02-02-02-06.wav,surprise
../data/raw\Actor_07\03-01-01-01-01-01-07.wav,neutral
../data/raw\Actor_07\03-01-01-01-01-02-07.wav,neutral
../data/raw\Actor_07\03-01-01-01-02-01-07.wav,neutral
../data/raw\Actor_07\03-01-01-01-02-02-07.wav,neutral
../data/raw\Actor_07\03-01-02-01-01-01-07.wav,calm
../data/raw\Actor_07\03-01-02-01-01-02-07.wav,calm
../data/raw\Actor_07\03-01-02-01-02-01-07.wav,calm
../data/raw\Actor_07\03-01-02-01-02-02-07.wav,calm
../data/raw\Actor_07\03-01-02-02-01-01-07.wav,calm
../data/raw\Actor_07\03-01-02-02-01-02-07.wav,calm
../data/raw\Actor_07\03-01-02-02-02-01-07.wav,calm
../data/raw\Actor_07\03-01-02-02-02-02-07.wav,calm
../data/raw\Actor_07\03-01-03-01-01-01-07.wav,happy
../data/raw\Actor_07\03-01-03-01-01-02-07.wav,happy
../data/raw\Actor_07\03-01-03-01-02-01-07.wav,happy
../data/raw\Actor_07\03-01-03-01-02-02-07.wav,happy
../data/raw\Actor_07\03-01-03-02-01-01-07.wav,happy
../data/raw\Actor_07\03-01-03-02-01-02-07.wav,happy
../data/raw\Actor_07\03-01-03-02-02-01-07.wav,happy
../data/raw\Actor_07\03-01-03-02-02-02-07.wav,happy
../data/raw\Actor_07\03-01-04-01-01-01-07.wav,sad
../data/raw\Actor_07\03-01-04-01-01-02-07.wav,sad
../data/raw\Actor_07\03-01-04-01-02-01-07.wav,sad
../data/raw\Actor_07\03-01-04-01-02-02-07.wav,sad
../data/raw\Actor_07\03-01-04-02-01-01-07.wav,sad
../data/raw\Actor_07\03-01-04-02-01-02-07.wav,sad
../data/raw\Actor_07\03-01-04-02-02-01-07.wav,sad
../data/raw\Actor_07\03-01-04-02-02-02-07.wav,sad
../data/raw\Actor_07\03-01-05-01-01-01-07.wav,angry
../data/raw\Actor_07\03-01-05-01-01-02-07.wav,angry
../data/raw\Actor_07\03-01-05-01-02-01-07.wav,angry
../data/raw\Actor_07\03-01-05-01-02-02-07.wav,angry
../data/raw\Actor_07\03-01-05-02-01-01-07.wav,angry
../data/raw\Actor_07\03-01-05-02-01-02-07.wav,angry
../data/raw\Actor_07\03-01-05-02-02-01-07.wav,angry
../data/raw\Actor_07\03-01-05-02-02-02-07.wav,angry
../data/raw\Actor_07\03-01-06-01-01-01-07.wav,fear
../data/raw\Actor_07\03-01-06-01-01-02-07.wav,fear
../data/raw\Actor_07\03-01-06-01-02-01-07.wav,fear
../data/raw\Actor_07\03-01-06-01-02-02-07.wav,fear
../data/raw\Actor_07\03-01-06-02-01-01-07.wav,fear
../data/raw\Actor_07\03-01-06-02-01-02-07.wav,fear
../data/raw\Actor_07\03-01-06-02-02-01-07.wav,fear
../data/raw\Actor_07\03-01-06-02-02-02-07.wav,fear
../data/raw\Actor_07\03-01-07-01-01-01-07.wav,disgust
../data/raw\Actor_07\03-01-07-01-01-02-07.wav,disgust
../data/raw\Actor_07\03-01-07-01-02-01-07.wav,disgust
../data/raw\Actor_07\03-01-07-01-02-02-07.wav,disgust
../data/raw\Actor_07\03-01-07-02-01-01-07.wav,disgust
../data/raw\Actor_07\03-01-07-02-01-02-07.wav,disgust
../data/raw\Actor_07\03-01-07-02-02-01-07.wav,disgust
../data/raw\Actor_07\03-01-07-02-02-02-07.wav,disgust
../data/raw\Actor_07\03-01-08-01-01-01-07.wav,surprise
../data/raw\Actor_07\03-01-08-01-01-02-07.wav,surprise
../data/raw\Actor_07\03-01-08-01-02-01-07.wav,surprise
../data/raw\Actor_07\03-01-08-01-02-02-07.wav,surprise
../data/raw\Actor_07\03-01-08-02-01-01-07.wav,surprise
../data/raw\Actor_07\03-01-08-02-01-02-07.wav,surprise
../data/raw\Actor_07\03-01-08-02-02-01-07.wav,surprise
../data/raw\Actor_07\03-01-08-02-02-02-07.wav,surprise
../data/raw\Actor_08\03-01-01-01-01-01-08.wav,neutral
../data/raw\Actor_08\03-01-01-01-01-02-08.wav,neutral
../data/raw\Actor_08\03-01-01-01-02-01-08.wav,neutral
../data/raw\Actor_08\03-01-01-01-02-02-08.wav,neutral
../data/raw\Actor_08\03-01-02-01-01-01-08.wav,calm
../data/raw\Actor_08\03-01-02-01-01-02-08.wav,calm
../data/raw\Actor_08\03-01-02-01-02-01-08.wav,calm
../data/raw\Actor_08\03-01-02-01-02-02-08.wav,calm
../data/raw\Actor_08\03-01-02-02-01-01-08.wav,calm
../data/raw\Actor_08\03-01-02-02-01-02-08.wav,calm
../data/raw\Actor_08\03-01-02-02-02-01-08.wav,calm
../data/raw\Actor_08\03-01-02-02-02-02-08.wav,calm
